site,season,replicate,CCA,MA,Turf,ACA,Zoantharia,Others
DatanG2,Spring,1,33.33333333,0,40.74074074,0,0,25.92592593
DatanG2,Spring,2,34.88372093,0,41.86046512,0,0,23.25581395
DatanG2,Spring,3,52.17391304,0,17.39130435,0,0,30.43478261
DatanG2,Summer,1,65.04854369,0,0.970873786,0,0,33.980582524
DatanG2,Summer,2,26.51933702,0,6.629834254,0,0,66.850828726
DatanG2,Summer,3,24.48979592,0,3.06122449,0,0,72.44897959
DatanG2,Winter,1,23.04147465,0,7.834101382,0,0,69.124423968
DatanG2,Winter,2,25.14285714,0,4.571428571,0,0,70.285714289
DatanG2,Winter,3,20.55555556,0,6.666666667,0,0,72.777777773
Shimen,Spring,1,25.80645161,24.19354839,46.77419355,0.537634409,0,2.68817204099999
Shimen,Spring,2,18.4079602,58.20895522,17.91044776,3.482587065,0.995024876,0.99502487899999
Shimen,Spring,3,2.010050251,54.27135678,30.65326633,2.010050251,9.547738693,1.50753769500001
Shimen,Summer,1,16.25,70,0,0,0,13.75
Shimen,Summer,2,17.87709497,63.12849162,0,4.469273743,5.027932961,9.497206706
Shimen,Summer,3,7.80141844,48.22695035,0,0,17.73049645,26.24113476
Shimen,Winter,1,19.7740113,49.15254237,0,4.519774011,0,26.553672319
Shimen,Winter,2,20.65217391,45.65217391,0,0,0,33.69565218
Shimen,Winter,3,16.44444444,18.22222222,0,24.44444444,0,40.8888889
