Species,Sample,SandBurialDuration,Treatment,Before,After,Difference
Se-TAR-NTCR (S. erythraeum),221111BYRe_57-1,3 months,Buried,0.02,0.06,0.04
Se-TAR-NTCR (S. erythraeum),221111BYRe_57-2,3 months,Buried,0,0.01,0.01
Se-TAR-NTCR (S. erythraeum),221111BYRe_57-4,3 months,Buried,0.01,0.02,0.01
Se-TAR-NTCR (S. erythraeum),221111BYRe_57-5,1 month,Buried,0,0,0
Se-TAR-NTCR (S. erythraeum),221111BYRe_83-1,3 months,Buried,0,0,0
Se-TAR-NTCR (S. erythraeum),221111BYRe_83-2,1 month,Control,0,0,0
Se-TAR-NTCR (S. erythraeum),221111BYRe_83-2,3 months,Control,0,0.01,0.01
Se-TAR-NTCR (S. erythraeum),221111BYRe_90-1,1 month,Buried,0,0,0
Se-TAR-NTCR (S. erythraeum),221111BYRe_90-2,1 month,Control,0,0,0
Se-TAR-NTCR (S. erythraeum),221111BYRe_90-2,3 months,Control,0,0.01,0.01
Se-TAR-NTCR (S. erythraeum),221111BYRe_91-1,1 month,Buried,0,0,0
Se-TAR-NTCR (S. erythraeum),221111BYRe_91-2,1 month,Control,0,0.01,0.01
Se-TAR-NTCR (S. erythraeum),221111BYRe_91-2,3 months,Control,0,0.01,0.01
Se-TAR-NTCR (S. erythraeum),221111BYRe_91-3,3 months,Buried,0,0.01,0.01
Se-TAR-NTCR (S. erythraeum),221111BYRe_91-4,1 month,Buried,0.03,0.06,0.03
Se-TAR-NTCR (S. erythraeum),221111BYRe_91-5,3 months,Buried,0.01,0.05,0.04
Se-TAR-NTCR (S. erythraeum),221111BYRe_92-1,3 months,Buried,0.02,0.03,0.01
Se-TAR-NTCR (S. erythraeum),221111BYRe_92-2,1 month,Control,0.02,0.01,-0.01
Se-TAR-NTCR (S. erythraeum),221111BYRe_92-2,3 months,Control,0.02,0.05,0.03
Se-TAR-NTCR (S. erythraeum),221111BYRe_92-3,1 month,Buried,0.01,0.01,0
Se-TAR-NTCR (S. erythraeum),221111BYRe_93-2,3 months,Buried,0,0.68,0.68
Se-TAR-NTCR (S. erythraeum),221111BYRe_93-4,1 month,Buried,0.03,0.01,-0.02
Se-TAR-NTCR (S. erythraeum),221111BYRe_94-2,1 month,Buried,0.03,0.07,0.04
Se-TAR-NTCR (S. erythraeum),221111BYRe_95-1,1 month,Buried,0.01,0.04,0.03
Hs-TAR-NTCR (Harveylithon sp.),230618CMRe_1-1,1 month,Control,0.01,0.06,0.05
Hs-TAR-NTCR (Harveylithon sp.),230618CMRe_1-1,3 months,Control,0.01,0.23,0.22
Hs-TAR-NTCR (Harveylithon sp.),230618CMRe_1-11,1 month,Buried,0.03,0.17,0.14
Hs-TAR-NTCR (Harveylithon sp.),230618CMRe_1-4,1 month,Buried,0.01,0.03,0.02
Hs-TAR-NTCR (Harveylithon sp.),230618CMRe_1-7,3 months,Buried,0.01,0.02,0.01
Hs-TAR-NTCR (Harveylithon sp.),230618CMRe_2-1,3 months,Buried,0.01,0.04,0.03
Hs-TAR-NTCR (Harveylithon sp.),230618CMRe_2-11,1 month,Control,0.01,0.01,0
Hs-TAR-NTCR (Harveylithon sp.),230618CMRe_2-11,3 months,Control,0.01,0.01,0
Hs-TAR-NTCR (Harveylithon sp.),230618CMRe_2-14,1 month,Control,0,0.02,0.02
Hs-TAR-NTCR (Harveylithon sp.),230618CMRe_2-14,3 months,Control,0,0.27,0.27
Hs-TAR-NTCR (Harveylithon sp.),230618CMRe_2-15,3 months,Buried,0.02,0.02,0
Hs-TAR-NTCR (Harveylithon sp.),230618CMRe_2-16,3 months,Buried,0.02,0.02,0
