Sample,Species,Treatment,SandBurialDuration,RecoveryDuration,fvfm
230618CMRe_1-1,Hs-TAR-NTCR (Harveylithon sp.),Control,1m,0,0.623
230618CMRe_1-11,Hs-TAR-NTCR (Harveylithon sp.),Buried,1m,0,0.139
230618CMRe_1-4,Hs-TAR-NTCR (Harveylithon sp.),Buried,1m,0,0.237
230618CMRe_2-11,Hs-TAR-NTCR (Harveylithon sp.),Control,1m,0,0.673
230618CMRe_2-14,Hs-TAR-NTCR (Harveylithon sp.),Control,1m,0,0.678
230618CMRe_2-3,Hs-TAR-NTCR (Harveylithon sp.),Buried,1m,0,0.271
230618CMRe_2-4,Hs-TAR-NTCR (Harveylithon sp.),Control,1m,0,0.626
230618CMRe_2-7,Hs-TAR-NTCR (Harveylithon sp.),Buried,1m,0,0.243
230618CMRe_1-1,Hs-TAR-NTCR (Harveylithon sp.),Control,1m,1,0.592
230618CMRe_1-11,Hs-TAR-NTCR (Harveylithon sp.),Buried,1m,1,0.386
230618CMRe_1-4,Hs-TAR-NTCR (Harveylithon sp.),Buried,1m,1,0.506
230618CMRe_2-11,Hs-TAR-NTCR (Harveylithon sp.),Control,1m,1,0.671
230618CMRe_2-14,Hs-TAR-NTCR (Harveylithon sp.),Control,1m,1,0.572
230618CMRe_2-3,Hs-TAR-NTCR (Harveylithon sp.),Buried,1m,1,0.43
230618CMRe_2-4,Hs-TAR-NTCR (Harveylithon sp.),Control,1m,1,0.63
230618CMRe_2-7,Hs-TAR-NTCR (Harveylithon sp.),Buried,1m,1,0.415
230618CMRe_1-1,Hs-TAR-NTCR (Harveylithon sp.),Control,1m,2,0.683
230618CMRe_1-11,Hs-TAR-NTCR (Harveylithon sp.),Buried,1m,2,0.438
230618CMRe_1-4,Hs-TAR-NTCR (Harveylithon sp.),Buried,1m,2,0.465
230618CMRe_2-11,Hs-TAR-NTCR (Harveylithon sp.),Control,1m,2,0.671
230618CMRe_2-14,Hs-TAR-NTCR (Harveylithon sp.),Control,1m,2,0.683
230618CMRe_2-3,Hs-TAR-NTCR (Harveylithon sp.),Buried,1m,2,0.418
230618CMRe_2-4,Hs-TAR-NTCR (Harveylithon sp.),Control,1m,2,0.653
230618CMRe_2-7,Hs-TAR-NTCR (Harveylithon sp.),Buried,1m,2,0.466
230618CMRe_1-1,Hs-TAR-NTCR (Harveylithon sp.),Control,1m,3,0.666
230618CMRe_1-11,Hs-TAR-NTCR (Harveylithon sp.),Buried,1m,3,0.391
230618CMRe_1-4,Hs-TAR-NTCR (Harveylithon sp.),Buried,1m,3,0.514
230618CMRe_2-11,Hs-TAR-NTCR (Harveylithon sp.),Control,1m,3,0.724
230618CMRe_2-14,Hs-TAR-NTCR (Harveylithon sp.),Control,1m,3,0.683
230618CMRe_2-3,Hs-TAR-NTCR (Harveylithon sp.),Buried,1m,3,0.519
230618CMRe_2-4,Hs-TAR-NTCR (Harveylithon sp.),Control,1m,3,0.641
230618CMRe_2-7,Hs-TAR-NTCR (Harveylithon sp.),Buried,1m,3,0.52
230618CMRe_1-1,Hs-TAR-NTCR (Harveylithon sp.),Control,1m,4,0.678
230618CMRe_1-11,Hs-TAR-NTCR (Harveylithon sp.),Buried,1m,4,0.464
230618CMRe_1-4,Hs-TAR-NTCR (Harveylithon sp.),Buried,1m,4,0.589
230618CMRe_2-11,Hs-TAR-NTCR (Harveylithon sp.),Control,1m,4,0.704
230618CMRe_2-14,Hs-TAR-NTCR (Harveylithon sp.),Control,1m,4,0.697
230618CMRe_2-3,Hs-TAR-NTCR (Harveylithon sp.),Buried,1m,4,0.51
230618CMRe_2-4,Hs-TAR-NTCR (Harveylithon sp.),Control,1m,4,0.627
230618CMRe_2-7,Hs-TAR-NTCR (Harveylithon sp.),Buried,1m,4,0.541
230618CMRe_1-1,Hs-TAR-NTCR (Harveylithon sp.),Control,1m,5,0.659
230618CMRe_1-11,Hs-TAR-NTCR (Harveylithon sp.),Buried,1m,5,0.557
230618CMRe_1-4,Hs-TAR-NTCR (Harveylithon sp.),Buried,1m,5,0.505
230618CMRe_2-11,Hs-TAR-NTCR (Harveylithon sp.),Control,1m,5,0.589
230618CMRe_2-14,Hs-TAR-NTCR (Harveylithon sp.),Control,1m,5,0.64
230618CMRe_2-3,Hs-TAR-NTCR (Harveylithon sp.),Buried,1m,5,0.516
230618CMRe_2-4,Hs-TAR-NTCR (Harveylithon sp.),Control,1m,5,0.595
230618CMRe_2-7,Hs-TAR-NTCR (Harveylithon sp.),Buried,1m,5,0.575
230618CMRe_1-1,Hs-TAR-NTCR (Harveylithon sp.),Control,1m,6,0.661
230618CMRe_1-11,Hs-TAR-NTCR (Harveylithon sp.),Buried,1m,6,0.502
230618CMRe_1-4,Hs-TAR-NTCR (Harveylithon sp.),Buried,1m,6,0.564
230618CMRe_2-11,Hs-TAR-NTCR (Harveylithon sp.),Control,1m,6,0.651
230618CMRe_2-14,Hs-TAR-NTCR (Harveylithon sp.),Control,1m,6,0.66
230618CMRe_2-3,Hs-TAR-NTCR (Harveylithon sp.),Buried,1m,6,0.552
230618CMRe_2-4,Hs-TAR-NTCR (Harveylithon sp.),Control,1m,6,0.492
230618CMRe_2-7,Hs-TAR-NTCR (Harveylithon sp.),Buried,1m,6,0.522
230618CMRe_1-1,Hs-TAR-NTCR (Harveylithon sp.),Control,1m,7,0.655
230618CMRe_1-11,Hs-TAR-NTCR (Harveylithon sp.),Buried,1m,7,0.541
230618CMRe_1-4,Hs-TAR-NTCR (Harveylithon sp.),Buried,1m,7,0.565
230618CMRe_2-11,Hs-TAR-NTCR (Harveylithon sp.),Control,1m,7,0.669
230618CMRe_2-14,Hs-TAR-NTCR (Harveylithon sp.),Control,1m,7,0.639
230618CMRe_2-3,Hs-TAR-NTCR (Harveylithon sp.),Buried,1m,7,0.532
230618CMRe_2-4,Hs-TAR-NTCR (Harveylithon sp.),Control,1m,7,0.549
230618CMRe_2-7,Hs-TAR-NTCR (Harveylithon sp.),Buried,1m,7,0.509
230618CMRe_1-1,Hs-TAR-NTCR (Harveylithon sp.),Control,1m,14,0.687
230618CMRe_1-11,Hs-TAR-NTCR (Harveylithon sp.),Buried,1m,14,0.616
230618CMRe_1-4,Hs-TAR-NTCR (Harveylithon sp.),Buried,1m,14,0.587
230618CMRe_2-11,Hs-TAR-NTCR (Harveylithon sp.),Control,1m,14,0.587
230618CMRe_2-14,Hs-TAR-NTCR (Harveylithon sp.),Control,1m,14,0.669
230618CMRe_2-3,Hs-TAR-NTCR (Harveylithon sp.),Buried,1m,14,0.564
230618CMRe_2-4,Hs-TAR-NTCR (Harveylithon sp.),Control,1m,14,0.674
230618CMRe_2-7,Hs-TAR-NTCR (Harveylithon sp.),Buried,1m,14,0.609
230618CMRe_1-1,Hs-TAR-NTCR (Harveylithon sp.),Control,1m,21,0.694
230618CMRe_1-11,Hs-TAR-NTCR (Harveylithon sp.),Buried,1m,21,0.547
230618CMRe_1-4,Hs-TAR-NTCR (Harveylithon sp.),Buried,1m,21,0.566
230618CMRe_2-11,Hs-TAR-NTCR (Harveylithon sp.),Control,1m,21,0.615
230618CMRe_2-14,Hs-TAR-NTCR (Harveylithon sp.),Control,1m,21,0.644
230618CMRe_2-3,Hs-TAR-NTCR (Harveylithon sp.),Buried,1m,21,0.56
230618CMRe_2-4,Hs-TAR-NTCR (Harveylithon sp.),Control,1m,21,0.625
230618CMRe_2-7,Hs-TAR-NTCR (Harveylithon sp.),Buried,1m,21,0.557
230618CMRe_1-1,Hs-TAR-NTCR (Harveylithon sp.),Control,1m,28,0.691
230618CMRe_1-11,Hs-TAR-NTCR (Harveylithon sp.),Buried,1m,28,0.541
230618CMRe_1-4,Hs-TAR-NTCR (Harveylithon sp.),Buried,1m,28,0.62
230618CMRe_2-11,Hs-TAR-NTCR (Harveylithon sp.),Control,1m,28,0.647
230618CMRe_2-14,Hs-TAR-NTCR (Harveylithon sp.),Control,1m,28,0.678
